        1	2018-10-07 16:56:42	7	0	0	0
        1	2018-10-07 16:57:07	7	0	0	0
        2	2018-10-07 16:58:40	7	0	0	0
        3	2018-10-07 16:59:49	7	0	0	0
        4	2018-10-07 17:01:13	7	0	0	0
        4	2018-10-07 17:01:20	7	0	0	0
        5	2018-10-07 17:02:46	7	0	0	0
        6	2018-10-07 17:04:42	7	0	0	0
        6	2018-10-07 17:04:51	7	0	0	0
        6	2018-10-28 15:34:10	7	0	0	0
        6	2018-11-04 11:19:21	7	0	0	0
        3	2018-11-04 11:20:39	7	0	0	0
        2	2018-11-04 11:21:00	7	0	0	0
        2	2018-11-04 11:21:33	7	0	0	0
        2	2018-11-11 13:46:55	7	0	0	0
        3	2018-11-18 12:34:20	7	0	0	0
        6	2018-11-18 13:24:29	7	0	0	0
        3	2018-11-20 13:49:28	7	0	0	0
        5	2018-11-20 13:49:49	7	0	0	0
        6	2018-11-20 14:58:12	7	0	0	0
        3	2018-11-22 14:13:09	7	0	0	0
        1	2018-11-23 12:28:56	7	0	0	0
        1	2018-11-23 12:29:09	7	0	0	0
        6	2018-11-27 14:02:27	7	0	0	0
        1	2018-11-29 12:12:24	7	0	0	0
        1	2018-11-29 12:12:54	7	0	0	0
        1	2018-11-30 10:53:47	7	0	0	0
        6	2018-11-30 10:55:48	7	0	0	0
        8	2018-12-02 12:50:49	7	0	0	0
        6	2018-12-02 12:51:23	7	0	0	0
        1	2018-12-02 12:51:31	7	0	0	0
        1	2018-12-02 12:52:10	7	0	0	0
        2	2018-12-02 12:52:20	7	0	0	0
        3	2018-12-02 12:52:40	7	0	0	0
        1	2018-12-02 12:53:09	7	0	0	0
        7	2018-12-02 12:59:51	7	0	0	0
